name,bus0,bus1,country_pair,s_nom_mw,mean_loading,p95_loading,max_loading,congested_hours,congested_share_pct
178,DE0 146,DE0 23,DE-DE,1474.66806,0.61239,0.69998,0.69999,4406,50.29680
310,DE0 202,DE0 23,DE-DE,983.11204,0.53667,0.69995,0.70000,3644,41.59817
94,DE0 118,DE0 187,DE-DE,491.55602,0.46085,0.69998,0.70000,1168,13.33333
350,DE0 47,DE0 85,DE-DE,491.55602,0.34508,0.69915,0.69999,552,6.30137
79,DE0 114,DE0 23,DE-DE,5362.42930,0.26608,0.54829,0.70000,78,0.89041
80,DE0 114,DE0 44,DE-DE,2189.65863,0.30175,0.60943,0.69999,72,0.82192
176,DE0 146,DE0 202,DE-DE,491.55602,0.27348,0.53938,0.69996,29,0.33105
262,DE0 180,DE0 214,DE-DE,1698.10261,0.17558,0.44533,0.69999,24,0.27397
179,DE0 146,DE0 85,DE-DE,491.55602,0.24450,0.32473,0.36337,0,0.00000
328,DE0 214,DE0 85,DE-DE,2189.65863,0.21575,0.37462,0.53918,0,0.00000
269,DE0 183,DE0 85,DE-DE,3396.20522,0.20205,0.35830,0.43786,0,0.00000
334,DE0 23,DE0 33,DE-DE,3396.20522,0.30761,0.38776,0.42501,0,0.00000
270,DE0 183,DE0 99,DE-DE,3396.20522,0.20862,0.33701,0.39690,0,0.00000
312,DE0 202,DE0 99,DE-DE,3396.20522,0.22169,0.31550,0.35337,0,0.00000
277,DE0 187,DE0 207,DE-DE,491.55602,0.26895,0.47514,0.50639,0,0.00000
341,DE0 33,DE0 85,DE-DE,2189.65863,0.21017,0.27535,0.35184,0,0.00000
276,DE0 187,DE0 202,DE-DE,983.11204,0.11646,0.25172,0.35730,0,0.00000
95,DE0 118,DE0 207,DE-DE,491.55602,0.16238,0.33358,0.37921,0,0.00000
267,DE0 183,DE0 33,DE-DE,3887.76124,0.11315,0.24936,0.31292,0,0.00000
316,DE0 207,DE0 99,DE-DE,3396.20522,0.03828,0.08302,0.09923,0,0.00000
177,DE0 146,DE0 214,DE-DE,2189.65863,0.20493,0.31930,0.34627,0,0.00000
311,DE0 202,DE0 44,DE-DE,5094.30784,0.06375,0.13909,0.17930,0,0.00000
