timestamp,line_id,mu_abs,s_nom_mw,n_congested,rank_in_hour
2025-01-01 11:00:00,262,4.33363,1698.10261,1,1
2025-01-01 12:00:00,262,16.69059,1698.10261,1,1
2025-01-01 13:00:00,262,15.93150,1698.10261,2,1
2025-01-01 13:00:00,80,2.07754,2189.65863,2,2
2025-01-01 14:00:00,262,1.75775,1698.10261,1,1
2025-01-06 13:00:00,262,6.16735,1698.10261,1,1
2025-01-06 14:00:00,262,0.16748,1698.10261,1,1
2025-01-26 20:00:00,80,1.86125,2189.65863,1,1
2025-01-28 23:00:00,80,1.53142,2189.65863,1,1
2025-01-29 00:00:00,80,5.62850,2189.65863,1,1
2025-01-29 01:00:00,80,5.60161,2189.65863,1,1
2025-01-29 02:00:00,80,6.21442,2189.65863,1,1
2025-01-29 03:00:00,80,6.47188,2189.65863,1,1
2025-01-29 04:00:00,80,5.11244,2189.65863,1,1
2025-02-07 01:00:00,80,0.80910,2189.65863,1,1
2025-02-07 02:00:00,80,0.13525,2189.65863,1,1
2025-02-09 13:00:00,80,1.81887,2189.65863,1,1
2025-02-22 11:00:00,80,0.96592,2189.65863,1,1
2025-02-22 12:00:00,80,1.38776,2189.65863,1,1
2025-02-22 13:00:00,80,1.52960,2189.65863,1,1
2025-03-08 13:00:00,176,0.66456,491.55602,1,1
2025-03-09 12:00:00,176,5.22836,491.55602,1,1
2025-03-09 13:00:00,176,9.33591,491.55602,1,1
2025-03-09 14:00:00,176,0.14599,491.55602,1,1
2025-04-02 13:00:00,80,0.67213,2189.65863,1,1
2025-04-02 14:00:00,80,8.31056,2189.65863,1,1
2025-04-02 15:00:00,80,3.39131,2189.65863,1,1
2025-04-02 21:00:00,80,1.59696,2189.65863,1,1
2025-04-02 22:00:00,80,2.77840,2189.65863,1,1
2025-04-02 23:00:00,80,0.18769,2189.65863,1,1
2025-04-05 17:00:00,80,1.45372,2189.65863,1,1
2025-04-05 19:00:00,80,0.54280,2189.65863,1,1
2025-04-05 20:00:00,80,0.28333,2189.65863,1,1
2025-04-05 21:00:00,80,0.33092,2189.65863,1,1
2025-04-06 10:00:00,176,0.40072,491.55602,1,1
2025-04-06 11:00:00,176,26.85681,491.55602,1,1
2025-04-06 12:00:00,176,42.65134,491.55602,1,1
2025-04-06 13:00:00,176,44.71340,491.55602,1,1
2025-04-06 14:00:00,176,26.65177,491.55602,1,1
2025-04-12 11:00:00,176,1.02156,491.55602,1,1
2025-04-12 12:00:00,176,16.30889,491.55602,1,1
2025-04-20 10:00:00,176,4.95873,491.55602,1,1
2025-04-20 11:00:00,176,8.98201,491.55602,1,1
2025-04-20 12:00:00,176,1.36103,491.55602,1,1
2025-04-20 13:00:00,176,0.10148,491.55602,1,1
2025-04-27 10:00:00,176,0.12891,491.55602,1,1
2025-04-27 11:00:00,176,12.16078,491.55602,1,1
2025-04-27 12:00:00,176,8.97144,491.55602,1,1
2025-04-27 13:00:00,176,19.69109,491.55602,1,1
2025-04-27 14:00:00,176,0.14970,491.55602,1,1
2025-05-01 10:00:00,176,0.10390,491.55602,1,1
2025-05-01 11:00:00,176,0.56244,491.55602,1,1
2025-05-01 12:00:00,176,10.91395,491.55602,1,1
2025-05-01 13:00:00,176,10.97093,491.55602,1,1
2025-05-01 14:00:00,176,0.20311,491.55602,1,1
2025-05-10 11:00:00,176,0.19615,491.55602,1,1
2025-05-10 12:00:00,176,8.16004,491.55602,1,1
2025-05-10 13:00:00,176,5.02593,491.55602,1,1
2025-05-11 10:00:00,176,0.10306,491.55602,1,1
2025-06-08 05:00:00,80,2.32925,2189.65863,1,1
2025-06-08 10:00:00,80,6.07018,2189.65863,1,1
2025-06-08 11:00:00,80,8.18804,2189.65863,2,1
2025-06-08 11:00:00,262,0.18377,1698.10261,2,2
2025-06-08 12:00:00,262,32.70549,1698.10261,2,1
2025-06-08 12:00:00,80,6.96481,2189.65863,2,2
2025-06-08 13:00:00,262,28.64078,1698.10261,2,1
2025-06-08 13:00:00,80,8.75186,2189.65863,2,2
2025-06-08 14:00:00,262,28.22185,1698.10261,2,1
2025-06-08 14:00:00,80,25.36614,2189.65863,2,2
2025-06-08 15:00:00,262,29.40542,1698.10261,2,1
2025-06-08 15:00:00,80,15.04265,2189.65863,2,2
2025-06-08 16:00:00,80,18.48451,2189.65863,1,1
2025-06-23 12:00:00,262,5.54617,1698.10261,1,1
2025-06-23 13:00:00,262,5.90923,1698.10261,1,1
2025-06-23 14:00:00,262,11.41768,1698.10261,1,1
2025-06-24 13:00:00,262,3.81927,1698.10261,1,1
2025-08-03 13:00:00,80,1.18919,2189.65863,1,1
2025-08-03 14:00:00,80,0.58048,2189.65863,1,1
2025-08-03 15:00:00,80,1.55463,2189.65863,1,1
2025-08-04 13:00:00,80,0.15285,2189.65863,1,1
2025-09-11 15:00:00,80,1.26031,2189.65863,1,1
2025-09-14 22:00:00,80,4.30190,2189.65863,1,1
2025-09-14 23:00:00,80,0.29624,2189.65863,1,1
2025-09-16 09:00:00,262,0.16945,1698.10261,1,1
2025-09-16 10:00:00,262,5.50579,1698.10261,1,1
2025-09-16 11:00:00,262,7.05569,1698.10261,1,1
2025-09-16 12:00:00,262,18.76060,1698.10261,1,1
2025-09-16 13:00:00,262,1.09276,1698.10261,1,1
2025-10-05 09:00:00,262,0.32837,1698.10261,1,1
2025-10-23 02:00:00,80,6.22420,2189.65863,1,1
2025-10-24 13:00:00,262,1.96772,1698.10261,1,1
2025-10-26 09:00:00,262,7.07581,1698.10261,1,1
2025-10-26 10:00:00,262,27.88827,1698.10261,1,1
2025-12-21 22:00:00,80,3.01739,2189.65863,1,1
2025-12-21 23:00:00,80,0.56398,2189.65863,1,1
2025-12-24 00:00:00,80,0.57609,2189.65863,1,1
2025-12-24 01:00:00,80,3.97890,2189.65863,1,1
2025-12-24 02:00:00,80,8.83331,2189.65863,1,1
2025-12-24 03:00:00,80,9.96642,2189.65863,1,1
2025-12-24 04:00:00,80,9.37997,2189.65863,1,1
2025-12-24 05:00:00,80,5.29527,2189.65863,1,1
2025-12-24 06:00:00,80,6.27888,2189.65863,1,1
2025-12-24 07:00:00,80,4.77765,2189.65863,1,1
2025-12-24 08:00:00,80,4.18862,2189.65863,1,1
2025-12-24 09:00:00,80,4.50032,2189.65863,1,1
2025-12-24 10:00:00,80,0.45288,2189.65863,1,1
2025-12-24 11:00:00,80,4.51623,2189.65863,1,1
2025-12-24 12:00:00,80,6.74100,2189.65863,1,1
2025-12-24 13:00:00,80,8.70866,2189.65863,1,1
2025-12-24 14:00:00,80,10.19327,2189.65863,1,1
2025-12-24 15:00:00,80,6.84100,2189.65863,1,1
2025-12-24 16:00:00,80,4.85259,2189.65863,1,1
2025-12-24 17:00:00,80,5.39864,2189.65863,1,1
2025-12-24 18:00:00,80,7.47385,2189.65863,1,1
2025-12-24 19:00:00,80,5.65903,2189.65863,1,1
2025-12-24 20:00:00,80,5.93848,2189.65863,1,1
2025-12-24 21:00:00,80,7.20413,2189.65863,1,1
2025-12-24 23:00:00,80,4.57062,2189.65863,1,1
2025-12-25 00:00:00,80,5.21863,2189.65863,1,1
2025-12-25 01:00:00,80,2.43266,2189.65863,1,1
2025-12-25 02:00:00,80,2.23126,2189.65863,1,1
2025-12-25 04:00:00,80,0.31093,2189.65863,1,1
2025-12-25 05:00:00,80,0.13618,2189.65863,1,1
2025-12-25 06:00:00,80,1.14161,2189.65863,1,1
2025-12-25 07:00:00,80,2.67139,2189.65863,1,1
